"days","country","n"
2017-01-03,"NI",1
2017-01-03,"ZA",0
2017-01-03,"ZI",1
2017-01-04,"NI",0
2017-01-04,"ZA",0
2017-01-04,"ZI",0
2017-01-05,"NI",1
2017-01-05,"ZA",0
2017-01-05,"ZI",0
2017-01-06,"NI",0
2017-01-06,"ZA",0
2017-01-06,"ZI",0
2017-01-07,"NI",0
2017-01-07,"ZA",15
2017-01-07,"ZI",0
2017-01-08,"NI",0
2017-01-08,"ZA",1
2017-01-08,"ZI",0
2017-01-09,"NI",0
2017-01-09,"ZA",22
2017-01-09,"ZI",9
2017-01-10,"NI",1
2017-01-10,"ZA",18
2017-01-10,"ZI",14
2017-01-11,"NI",4
2017-01-11,"ZA",1
2017-01-11,"ZI",2
2017-01-12,"NI",28
2017-01-12,"ZA",1
2017-01-12,"ZI",0
2017-01-13,"NI",11
2017-01-13,"ZA",1
2017-01-13,"ZI",1
2017-01-14,"NI",4
2017-01-14,"ZA",0
2017-01-14,"ZI",2
2017-01-15,"NI",0
2017-01-15,"ZA",0
2017-01-15,"ZI",1
2017-01-16,"NI",15
2017-01-16,"ZA",0
2017-01-16,"ZI",0
