"X","GlobalEventID","Day","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_Fullname","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_ADM2Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_Fullname","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_ADM2Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_Fullname","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_ADM2Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","Dateadded","Sourceurl","CutURL","CutURL2"
4435,613327238,20170101,201701,2017,2017.0027,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"AFR","AFRICA","AFR",NA,NA,NA,NA,NA,NA,NA,0,130,130,13,"3",-4.4,4,1,4,2.04904266039637,4,"Beijing, Beijing, China","CH","CH22",13001,39.9289,116.388,"-1898541",4,"Beijing, Beijing, China","CH","CH22",13001,39.9289,116.388,"-1898541",4,"Tazara, Jigawa, Nigeria","NI","NI39",191025,12.1007,9.70706,"-2027541",20170101111500,"http://www.pambazuka.org/global-south/china-africa-devil-or-angel","www.pambaz","www.pambazuka"
6356,613361968,20170101,201701,2017,2017.0027,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"AFR","AFRICA","AFR",NA,NA,NA,NA,NA,NA,NA,0,173,173,17,"4",-5,4,1,4,-1.77952007602756,4,"Kaduna, Kaduna, Nigeria","NI","NI23",22832,10.5231,7.44028,"-2014086",3,"White House, District of Columbia, United States","US","USDC",NA,38.8951,-77.0364,"531871",4,"Kaduna, Kaduna, Nigeria","NI","NI23",22832,10.5231,7.44028,"-2014086",20170101154500,"http://omojuwa.com/2017/01/2016-year-attainments-challenges-kaduna-el-rufai/","omojuwa.co","omojuwa.com/2"
6510,613365440,20170101,201701,2017,2017.0027,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"AFR","AFRICA","AFR",NA,NA,NA,NA,NA,NA,NA,0,173,173,17,"4",-5,2,1,2,-4.03348554033485,4,"Kaduna, Kaduna, Nigeria","NI","NI23",22832,10.5231,7.44028,"-2014086",4,"Kaduna, Kaduna, Nigeria","NI","NI23",22832,10.5231,7.44028,"-2014086",4,"Kaduna, Kaduna, Nigeria","NI","NI23",22832,10.5231,7.44028,"-2014086",20170101161500,"http://omojuwa.com/2017/01/corruption-jonathans-men-women-run-ebuka-onyeji/","omojuwa.co","omojuwa.com/2"
7303,613381540,20170101,201701,2017,2017.0027,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"AFR","AFRICA","AFR",NA,NA,NA,NA,NA,NA,NA,0,173,173,17,"4",-5,2,1,2,-1.93837582158194,4,"Lafiya, Kaduna, Nigeria","NI","NI23",22830,11.2449,7.74564,"-2017327",4,"Lafiya, Kaduna, Nigeria","NI","NI23",22830,11.2449,7.74564,"-2017327",4,"Lafiya, Kaduna, Nigeria","NI","NI23",22830,11.2449,7.74564,"-2017327",20170101183000,"http://omojuwa.com/2017/01/breaking-disneys-bambi-artist-tyrus-wong-dies-aged-106/","omojuwa.co","omojuwa.com/2"
7304,613381541,20170101,201701,2017,2017.0027,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"AFR","AFRICA","AFR",NA,NA,NA,NA,NA,NA,NA,0,173,173,17,"4",-5,1,1,1,-2.25937641211026,4,"Lafiya, Kaduna, Nigeria","NI","NI23",22830,11.2449,7.74564,"-2017327",4,"Niger Delta, Nigeria (general), Nigeria","NI","NI00",23074,4.83333,6,"-2020890",4,"Lafiya, Kaduna, Nigeria","NI","NI23",22830,11.2449,7.74564,"-2017327",20170101183000,"http://omojuwa.com/2017/01/didnt-invest-5m-ponzi-scheme-church-pastor-matthew-ashimolowo/","omojuwa.co","omojuwa.com/2"
7305,613381542,20170101,201701,2017,2017.0027,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"AFR","AFRICA","AFR",NA,NA,NA,NA,NA,NA,NA,0,173,173,17,"4",-5,1,1,1,-1.61737523105361,4,"Sokoto, Sokoto, Nigeria","NI","NI51",190962,13.0609,5.23902,"-2026911",4,"Lafiya, Kaduna, Nigeria","NI","NI23",22830,11.2449,7.74564,"-2017327",4,"Lafiya, Kaduna, Nigeria","NI","NI23",22830,11.2449,7.74564,"-2017327",20170101183000,"http://omojuwa.com/2017/01/breaking-disneys-bambi-artist-tyrus-wong-dies-aged-106/","omojuwa.co","omojuwa.com/2"
7306,613381543,20170101,201701,2017,2017.0027,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"AFR","AFRICA","AFR",NA,NA,NA,NA,NA,NA,NA,0,173,173,17,"4",-5,1,1,1,-2.25937641211026,5,"Delta State, Delta, Nigeria","NI","NI36",191350,5.5,6,"29267",5,"Delta State, Delta, Nigeria","NI","NI36",191350,5.5,6,"29267",5,"Delta State, Delta, Nigeria","NI","NI36",191350,5.5,6,"29267",20170101183000,"http://omojuwa.com/2017/01/didnt-invest-5m-ponzi-scheme-church-pastor-matthew-ashimolowo/","omojuwa.co","omojuwa.com/2"
9108,613422366,20170102,201701,2017,2017.0055,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"NGA","NIGERIA","NGA",NA,NA,NA,NA,NA,NA,NA,0,10,10,1,"1",0,6,1,6,-1.87713310580205,1,"China","CH","CH",NA,35,105,"CH",1,"Nigeria","NI","NI",NA,10,8,"NI",1,"Nigeria","NI","NI",NA,10,8,"NI",20170102004500,"http://thenationonlineng.net/trouble-48-hour-cargo-clearance/","thenationo","thenationonli"
9443,613427058,20170102,201701,2017,2017.0055,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"BUS","BANK",NA,NA,NA,NA,NA,"BUS",NA,NA,0,10,10,1,"1",0,2,1,2,-4.17209908735332,4,"Ikoyi, Nigeria (general), Nigeria","NI","NI00",23034,8.25,4.16667,"-2011927",4,"Ikoyi, Nigeria (general), Nigeria","NI","NI00",23034,8.25,4.16667,"-2011927",4,"Ikoyi, Nigeria (general), Nigeria","NI","NI00",23034,8.25,4.16667,"-2011927",20170102011500,"http://sunnewsonline.com/businessman-who-lost-10-containers-in-lagos-port-says-im-shattered/","sunnewsonl","sunnewsonline"
9444,613427067,20170102,201701,2017,2017.0055,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"NGA","NIGERIA","NGA",NA,NA,NA,NA,NA,NA,NA,0,10,10,1,"1",0,2,1,2,-4.17209908735332,4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",20170102011500,"http://sunnewsonline.com/businessman-who-lost-10-containers-in-lagos-port-says-im-shattered/","sunnewsonl","sunnewsonline"
